"","name1","name2","name3","name4","name5","name6","value"
"1","AirportResource","Airports","Airport","AirportCode",NA,NA,"FRA"
"2","AirportResource","Airports","Airport","Position","Coordinate","Latitude","50.0331"
"3","AirportResource","Airports","Airport","Position","Coordinate","Longitude","8.5706"
"4","AirportResource","Airports","Airport","CityCode",NA,NA,"FRA"
"5","AirportResource","Airports","Airport","CountryCode",NA,NA,"DE"
"6","AirportResource","Airports","Airport","LocationType",NA,NA,"Airport"
"7","AirportResource","Airports","Airport","Names","Name","@LanguageCode1","xx"
"8","AirportResource","Airports","Airport","Names","Name","@LanguageCode2","de"
"9","AirportResource","Airports","Airport","Names","Name","@LanguageCode3","ru"
"10","AirportResource","Airports","Airport","Names","Name","@LanguageCode4","ko"
"11","AirportResource","Airports","Airport","Names","Name","@LanguageCode5","pt"
"12","AirportResource","Airports","Airport","Names","Name","@LanguageCode6","en"
"13","AirportResource","Airports","Airport","Names","Name","@LanguageCode7","it"
"14","AirportResource","Airports","Airport","Names","Name","@LanguageCode8","fr"
"15","AirportResource","Airports","Airport","Names","Name","@LanguageCode9","es"
"16","AirportResource","Airports","Airport","Names","Name","@LanguageCode10","ka"
"17","AirportResource","Airports","Airport","Names","Name","@LanguageCode11","ja"
"18","AirportResource","Airports","Airport","Names","Name","@LanguageCode12","mi"
"19","AirportResource","Airports","Airport","Names","Name","@LanguageCode13","pl"
"20","AirportResource","Airports","Airport","Names","Name","$1","Frankfurt/Main International"
"21","AirportResource","Airports","Airport","Names","Name","$2","Frankfurt/Main International"
"22","AirportResource","Airports","Airport","Names","Name","$3","Frankfurt/Main International"
"23","AirportResource","Airports","Airport","Names","Name","$4","Frankfurt/Main International"
"24","AirportResource","Airports","Airport","Names","Name","$5","Frankfurt/Main International"
"25","AirportResource","Airports","Airport","Names","Name","$6","Frankfurt/Main International"
"26","AirportResource","Airports","Airport","Names","Name","$7","Francoforte - Frankfurt/Main International"
"27","AirportResource","Airports","Airport","Names","Name","$8","Frankfurt/Main International"
"28","AirportResource","Airports","Airport","Names","Name","$9","Frankfurt/Main International"
"29","AirportResource","Airports","Airport","Names","Name","$10","Frankfurt/Main International"
"30","AirportResource","Airports","Airport","Names","Name","$11","Frankfurt/Main International"
"31","AirportResource","Airports","Airport","Names","Name","$12","Frankfurt/Main International"
"32","AirportResource","Airports","Airport","Names","Name","$13","Frankfurt/Main International"
"33","AirportResource","Airports","Airport","UtcOffset",NA,NA,"1.0"
"34","AirportResource","Airports","Airport","TimeZoneId",NA,NA,"Europe/Berlin"
"35","AirportResource","Meta","@Version",NA,NA,NA,"1.0.0"
"36","AirportResource","Meta","Link","@Href1",NA,NA,"https://api.lufthansa.com/v1/references/airports/FRA"
"37","AirportResource","Meta","Link","@Href2",NA,NA,"https://api.lufthansa.com/v1/references/cities/FRA"
"38","AirportResource","Meta","Link","@Href3",NA,NA,"https://api.lufthansa.com/v1/references/countries/DE"
"39","AirportResource","Meta","Link","@Href4",NA,NA,"http://travelguide.lufthansa.com/de/de/{cityCode}/FRA"
"40","AirportResource","Meta","Link","@Href5",NA,NA,"http://travelguide.lufthansa.com/de/en/{cityCode}/FRA"
"41","AirportResource","Meta","Link","@Href6",NA,NA,"http://travelguide.lufthansa.com/de/es/{cityCode}/FRA"
"42","AirportResource","Meta","Link","@Href7",NA,NA,"http://travelguide.lufthansa.com/de/fr/{cityCode}/FRA"
"43","AirportResource","Meta","Link","@Href8",NA,NA,"http://travelguide.lufthansa.com/de/it/{cityCode}/FRA"
"44","AirportResource","Meta","Link","@Href9",NA,NA,"http://travelguide.lufthansa.com/de/pt/{cityCode}/FRA"
"45","AirportResource","Meta","Link","@Rel1",NA,NA,"self"
"46","AirportResource","Meta","Link","@Rel2",NA,NA,"related"
"47","AirportResource","Meta","Link","@Rel3",NA,NA,"related"
"48","AirportResource","Meta","Link","@Rel4",NA,NA,"alternate"
"49","AirportResource","Meta","Link","@Rel5",NA,NA,"alternate"
"50","AirportResource","Meta","Link","@Rel6",NA,NA,"alternate"
"51","AirportResource","Meta","Link","@Rel7",NA,NA,"alternate"
"52","AirportResource","Meta","Link","@Rel8",NA,NA,"alternate"
"53","AirportResource","Meta","Link","@Rel9",NA,NA,"alternate"
"54","AirlineResource","Airlines","Airline","AirlineID",NA,NA,"LH"
"55","AirlineResource","Airlines","Airline","AirlineID_ICAO",NA,NA,"DLH"
"56","AirlineResource","Airlines","Airline","Names","Name","@LanguageCode","EN"
"57","AirlineResource","Airlines","Airline","Names","Name","$","Lufthansa"
"58","AirlineResource","Meta","@Version",NA,NA,NA,"1.0.0"
"59","AirlineResource","Meta","Link","@Href",NA,NA,"https://api.lufthansa.com/v1/mds-references/airlines/LH"
"60","AirlineResource","Meta","Link","@Rel",NA,NA,"self"
"61","LoungeResource","Lounges","Lounge","Names","Name","@LanguageCode1","en"
"62","LoungeResource","Lounges","Lounge","Names","Name","@LanguageCode2","en"
"63","LoungeResource","Lounges","Lounge","Names","Name","@LanguageCode3","en"
